"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1853277919067713897","Mon Nov 04 03:27:42 +0000 2024","3","AIAH SANA MAKASALUBONG KITA WAHHHHHHHHHH","1853277919067713897","","","in","","1","0","0","https://x.com/blackpink_yeah/status/1853277919067713897","1557800633805451264","blackpink_yeah"
"1853118142014431347","Mon Nov 04 03:27:25 +0000 2024","0","@doubleuforwoo 'Tapi kan baemon world tour sedangkan treasure jp asia jp asia.' YG bilangnya trs sama bm bkln lakuin their 1st wt di tahun dpn brg blackpink jg. 'Itungannya treasure harus nunggu 5 tahun utk wt' Sblm kita ngebahas momentum y giliran YG gunain momentum nya ttp salah","1853277844690104749","","doubleuforwoo","in","soloist junkyu","0","0","0","https://x.com/kyuluvsie/status/1853277844690104749","1470580466445025282","kyuluvsie"
"1852897982804578439","Mon Nov 04 03:24:46 +0000 2024","0","@emmawhatsen Ngakak banget narasi ngadi2 hahaha.. gw tau blackpink duluan dari bts malah ","1853277181545439428","","emmawhatsen","in","","0","0","0","https://x.com/knotzLS/status/1853277181545439428","1771284801863004160","knotzLS"
"1853276898635489305","Mon Nov 04 03:23:39 +0000 2024","0","Coba kasih gw satu bukti BLACKPINK pernah sebut BTS atau ngobrol di acara award aj ARMY TAHU MALUUUUU","1853276898635489305","","","in","","0","0","0","https://x.com/BLalisalia/status/1853276898635489305","1484876716955029504","BLalisalia"
"1852897982804578439","Mon Nov 04 03:19:11 +0000 2024","0","@emmawhatsen Kata kata lucuu BLACKPINK PANSOS KE BTS ","1853275773693735341","","emmawhatsen","in","🦋","0","0","0","https://x.com/nndaaslsaa/status/1853275773693735341","1811448455170260994","nndaaslsaa"
"1853275721126347190","Mon Nov 04 03:18:58 +0000 2024","2","temos algum utt/bias em comum? skz: hyun seung e jeong. (utts) gidle: shuhua enhypen: sunghoon le sserafim: eunchae e kazuha bts: suga e tae aespa: ningning kiss of life: belle twice: dahyun blackpink: jennie itzy: chaeryeong","1853275721126347190","","","in","","1","2","0","https://x.com/ot8ari/status/1853275721126347190","1530728414029692928","ot8ari"
"1853274651993985160","Mon Nov 04 03:14:43 +0000 2024","1","temos algum utt em comum? skz: channie e hyun txt: yeonjun enhypen: jungwon ateez: sannie everglow: - boynextdoor: jaehyun e woonhak bts: taehyung twice: - blackpink: - itzy: ryujin e yeji","1853274651993985160","","","in","itzy+fimies+nwjns+xg+nmixx","0","0","0","https://x.com/luh__rm/status/1853274651993985160","1090409709222481920","luh__rm"
"1853274051034165747","Mon Nov 04 03:12:20 +0000 2024","1","temos algum utt em comum? skz: Jisung e Minho txt: Yeonjun enhypen: Niki ateez: Seonghwa everglow: - boynextdoor: Taesan e Woonhak bts: - twice: Jihyo blackpink: - itzy: Lia","1853274051034165747","","","in","Ele/dele","0","3","0","https://x.com/BoiolapeloGeum/status/1853274051034165747","1351390713251049472","BoiolapeloGeum"
"1853273718023475466","Mon Nov 04 03:11:01 +0000 2024","22","Baru² ini RK minta Resep/bekingan ( Prabowo &amp; Mulyono ) karana suara partai tidak menjamin dia menang akar rumput pun sebagian meninggalkannya. ---- Prabowo blackpink Oslo Garnacho https://t.co/oNmtHC3VbS","1853273718023475466","https://pbs.twimg.com/media/GbgmoAkbgAAb5Rh.jpg","","in","🇮🇩","0","1","4","https://x.com/elsaday__/status/1853273718023475466","1316243860280889345","elsaday__"
"1853273690022236384","Mon Nov 04 03:10:54 +0000 2024","0","statement lucu: blackpink dompleng bts blackpink aja dari agensi kaya debut lgsg PAK even belum debut aja udah ditunggu tunggu. idol lu noh ngemis di jalan buat didatengin konsernya kocak","1853273690022236384","","","in","","0","1","0","https://x.com/lemonierosie/status/1853273690022236384","1397427684880175105","lemonierosie"
